iter	Passed	Remaining
940	530579	33266
941	531136	32702
942	531780	32143
943	532299	31577
944	532886	31014
945	533463	30451
946	534029	29887
947	534532	29320
948	535156	28759
949	535633	28191
950	536275	27631
951	536855	27068
952	537517	26509
953	538105	25946
954	538719	25384
955	539266	24819
956	539830	24255
957	540322	23688
958	540919	23125
959	541521	22563
960	542102	22000
961	542652	21435
962	543220	20871
963	543768	20306
964	544356	19743
965	544877	19177
966	545498	18615
967	546062	18051
968	546620	17487
969	547139	16921
970	547711	16358
971	548243	15793
972	548794	15228
973	549349	14664
974	549898	14099
975	550455	13535
976	550937	12969
977	551462	12405
978	552056	11841
979	552586	11277
980	553168	10713
981	553694	10149
982	554301	9586
983	554799	9021
984	555381	8457
985	555927	7893
986	556567	7330
987	557099	6766
988	557656	6202
989	558222	5638
990	558801	5074
991	559355	4510
992	559955	3947
993	560516	3383
994	561080	2819
995	561624	2255
996	562183	1691
997	562722	1127
998	563261	563
999	563819	0
